block_index,offset,size,ascii_count,serial_candidates,zero_count,ff_count,numeric_candidates_count
272,19040,70,0,,31,4,66
273,19110,70,0,,38,4,66
274,19180,70,0,,53,4,66
275,19250,70,0,,53,4,66
276,19320,70,0,,53,4,66
277,19390,70,0,,53,4,66
278,19460,70,0,,53,4,66
279,19530,70,0,,53,4,66
280,19600,70,0,,53,4,66
281,19670,70,0,,53,4,66
282,19740,70,0,,53,4,66
283,19810,70,0,,53,4,66
284,19880,70,0,,53,4,66
285,19950,70,0,,53,4,66
286,20020,70,0,,53,4,66
287,20090,70,0,,53,4,66
288,20160,70,0,,53,4,66
289,20230,70,0,,54,4,66
290,20300,70,0,,53,4,66
291,20370,70,0,,53,4,66
292,20440,70,0,,53,4,66
293,20510,70,0,,53,4,66
294,20580,70,0,,53,4,66
295,20650,70,0,,53,4,66
296,20720,70,0,,53,4,66
297,20790,70,0,,53,4,66
298,20860,70,0,,53,4,66
299,20930,70,0,,53,4,66
300,21000,70,0,,53,4,66
301,21070,70,0,,53,4,66
302,21140,70,0,,53,4,66
303,21210,70,0,,53,4,66
304,21280,70,0,,53,4,66
305,21350,70,0,,53,4,66
306,21420,70,0,,53,4,66
307,21490,70,0,,54,4,66
308,21560,70,0,,53,4,66
309,21630,70,0,,53,4,66
310,21700,70,0,,53,4,66
311,21770,70,0,,53,4,66
312,21840,70,0,,53,4,66
313,21910,70,0,,53,4,66
314,21980,70,0,,53,4,66
315,22050,70,0,,53,4,66
316,22120,70,0,,53,4,66
317,22190,70,0,,53,4,66
318,22260,70,0,,53,4,66
319,22330,70,0,,53,4,66
320,22400,70,0,,53,4,66
321,22470,70,0,,53,4,66
322,22540,70,0,,53,4,66
323,22610,70,0,,53,4,66
324,22680,70,0,,53,4,66
325,22750,70,0,,53,4,66
326,22820,70,0,,53,4,66
327,22890,70,0,,53,4,66
328,22960,70,0,,53,4,66
329,23030,70,0,,46,4,66
330,23100,70,0,,28,4,66
331,23170,70,0,,24,4,66
